head_chest,chest_hip,heel-ham,elbow-shoulder
0.7407407407407407,0.8851674641148325,-23,5
0.5982905982905983,0.8638743455497382,2,-6
0.55,0.8140703517587939,18,-12
0.4958677685950413,0.8291457286432161,2,-10
0.4833333333333333,0.8615384615384616,19,-9
0.4262295081967213,0.8636363636363636,27,-1
0.4396551724137931,0.855,37,9
0.4859813084112149,0.8341463414634146,37,12
0.5047619047619047,0.8151658767772512,36,13
0.4615384615384615,0.8349056603773585,31,21
0.4375,0.8480392156862745,40,29
0.4245283018867924,0.8277511961722488,60,22
0.4414414414414414,0.8186046511627907,40,20
0.417391304347826,0.84688995215311,21,12
0.4230769230769231,0.8148148148148148,11,25
0.3305785123966942,0.9292929292929292,9,54
0.3412698412698413,0.9685863874345548,16,59
0.4035087719298245,0.9396984924623116,18,52
0.4336283185840708,0.9393939393939394,20,44
0.4260869565217391,0.964102564102564,17,44
0.4434782608695652,0.949238578680203,20,44
0.4347826086956521,0.9353233830845772,21,48
0.4594594594594595,0.9447236180904522,19,45
0.4642857142857143,0.9593908629441624,16,43
0.4684684684684684,0.9402985074626866,12,43
0.495575221238938,0.9405940594059404,26,42
0.4830508474576271,0.9601990049751244,28,42
0.4628099173553719,0.97,34,46
0.4873949579831932,0.965,28,40
0.6216216216216216,1.0274725274725274,57,-3
0.6857142857142857,0.9744897959183674,44,-5
0.5504587155963303,0.9801980198019802,12,50
0.4690265486725664,1.0205128205128204,11,47
0.4444444444444444,1.0259067357512954,22,48
0.4579439252336448,0.8018867924528302,30,35
0.5196078431372549,0.8398058252427184,29,33
0.4857142857142857,0.8636363636363636,30,31
0.4857142857142857,0.8781725888324873,24,31
0.6847826086956522,0.925531914893617,43,21
0.7926829268292683,0.9067357512953368,45,17
0.7065217391304348,0.9779005524861878,44,14
0.6451612903225806,1.0223463687150838,35,-1
0.686046511627907,1.0284090909090908,53,15
0.5402298850574713,0.8078602620087336,20,43
0.4272727272727272,0.926829268292683,25,45
0.4363636363636363,0.926829268292683,15,47
0.4392523364485981,0.926829268292683,17,44
0.4324324324324324,0.9215686274509804,14,42
0.4545454545454545,0.916256157635468,16,55
0.4770642201834862,0.9211822660098522,15,45
0.4857142857142857,0.8300970873786407,30,32
0.4495412844036697,0.8316831683168316,30,41
0.4553571428571428,0.8431372549019608,30,24
0.6404494382022472,0.945945945945946,59,-11
0.4615384615384615,0.8636363636363636,40,8
0.3783783783783784,0.8309178743961353,27,27
0.4205607476635514,0.7819905213270142,14,19
0.33,0.8277511961722488,16,77
0.3333333333333333,0.8246445497630331,15,43
0.3465346534653465,0.8151658767772512,20,31
0.39,0.8018867924528302,19,30
0.4117647058823529,0.8267326732673267,24,24
0.4271844660194174,0.8067632850241546,21,35
0.5208333333333334,0.8226600985221675,23,6
