name,head_chest,chest_hip,heel-ham,elbow-shoulder,shoulder-tiptoe,ham,heel,shoulder,elbow,tiptoe,evaluation
20181206_General_008_DOC_P_F20_MM_012_0713.jpg,0.4793388429752066,1.1032608695652173,39,22,-64,319,358,138,160,202,best
20181206_General_008_DOC_P_F20_MM_012_0756.jpg,0.5210084033613446,1.0806451612903225,38,25,-68,322,360,139,164,207,best
20181206_General_008_DOC_P_F20_MM_012_0760.jpg,0.5555555555555556,1.1404494382022472,42,24,-66,316,358,139,163,205,best
20181206_General_008_DOC_P_F20_MM_012_0761.jpg,0.5614035087719298,1.092896174863388,40,39,-66,319,359,138,177,204,best
20181206_General_008_DOC_P_F20_MM_012_0762.jpg,0.5470085470085471,1.0869565217391304,40,35,-67,319,359,137,172,204,best
20181206_General_008_DOC_P_F20_MM_012_0763.jpg,0.5470085470085471,1.0869565217391304,40,33,-69,319,359,136,169,205,best
20181206_General_008_DOC_P_F20_MM_012_0913.jpg,2.6451612903225805,-1.831683168316832,-148,-112,222,163,15,344,232,122,best
20181206_General_008_DOC_P_F20_MM_012_0914.jpg,0.845360824742268,1.7297297297297298,82,26,-34,277,359,169,195,203,best
20181206_General_008_DOC_P_F20_MM_012_0923.jpg,0.5078125,1.1366459627329193,51,-11,13,307,358,176,165,163,best
20181206_General_008_DOC_P_F20_MM_012_0924.jpg,0.6470588235294118,1.0355029585798816,55,5,-35,304,359,166,171,201,best
20181206_General_008_DOC_P_F20_MM_012_0937.jpg,0.61,1.0289017341040465,62,16,-34,297,359,163,179,197,best
20181206_General_008_DOC_P_F20_MM_012_0955.jpg,0.5794392523364486,1.046242774566474,47,7,-3,297,344,182,189,185,best
20181206_General_008_DOC_P_F20_MM_013_0417.jpg,0.7326732673267327,1.1796407185628743,53,31,-55,307,360,155,186,210,best
20181206_General_008_DOC_P_F20_MM_013_0422.jpg,0.6565656565656566,1.152941176470588,51,39,-50,309,360,165,204,215,best
20181206_General_008_DOC_P_F20_MM_013_0429.jpg,0.59,1.1607142857142858,46,46,-54,314,360,172,218,226,best
20181206_General_008_DOC_P_F20_MM_013_0435.jpg,0.5686274509803921,1.1428571428571428,46,38,-55,314,360,173,211,228,best
